Feature,Rank
544.496,214
375.307,215
565.626,216
685.091,217
453.146,218
548.413,219
644.96,220
543.713,221
834.255,222
509.166,223
336.98,224
634.893,225
403.967,226
589.821,227
500.509,228
981.182,229
365.737,230
559.371,231
917.863,232
399.196,233
581.244,234
404.762,235
312.963,236
945.202,237
390.442,238
775.309,239
953.301,240
488.69,241
571.096,242
876.962,243
813.915,244
824.47,245
732.645,246
678.931,247
759.342,248
598.389,249
406.352,250
592.158,251
658.876,252
696.626,253
433.344,254
520.173,255
687.399,256
608.503,257
614.72,258
368.13,259
348.172,260
401.582,261
456.311,262
860.517,263
755.535,264
648.828,265
644.186,266
804.853,267
304.947,268
868.746,269
473.699,270
675.079,271
809.386,272
603.836,273
487.113,274
838.014,275
889.637,276
418.269,277
690.476,278
786.688,279
689.707,280
507.593,281
383.276,282
336.18,283
310.559,284
615.497,285
820.703,286
399.991,287
603.058,288
848.526,289
321.775,290
676.62,291
355.361,292
495.783,293
968.729,294
653.467,295
881.439,296
384.072,297
539.794,298
836.511,299
385.665,300
537.442,301
307.352,302
976.058,303
570.314,304
411.915,305
895.592,306
414.298,307
705.84,308
558.589,309
415.887,310
963.592,311
503.658,312
549.196,313
721.17,314
683.551,315
422.238,316
791.992,317
491.055,318
701.234,319
316.168,320
825.977,321
631.793,322
897.079,323
542.929,324
898.567,325
867.25,326
905.997,327
502.871,328
763.908,329
511.526,330
665.053,331
750.963,332
584.364,333
308.956,334
877.709,335
480.803,336
541.362,337
413.504,338
481.592,339
763.148,340
611.612,341
546.847,342
773.03,343
533.52,344
688.169,345
681.242,346
616.274,347
840.268,348
582.804,349
744.1,350
551.545,351
661.965,352
839.517,353
606.17,354
810.896,355
572.658,356
360.949,357
700.466,358
306.551,359
991.414,360
726.527,361
546.063,362
530.381,363
861.265,364
313.764,365
361.747,366
526.456,367
671.995,368
373.712,369
961.388,370
621.709,371
424.619,372
662.737,373
926.745,374
379.292,375
476.068,376
449.189,377
518.601,378
918.604,379
740.284,380
801.829,381
964.326,382
510.739,383
641.864,384
491.843,385
344.975,386
692.783,387
974.593,388
789.72,389
652.694,390
805.609,391
430.966,392
721.935,393
610.835,394
469.75,395
929.703,396
320.173,397
973.128,398
772.271,399
591.379,400
366.535,401
713.509,402
766.19,403
428.586,404
790.477,405
467.38,406
461.056,407
777.586,408
564.844,409
675.849,410
784.414,411
332.98,412
440.478,413
835.759,414
665.825,415
673.537,416
303.343,417
300.937,418
819.949,419
859.019,420
338.579,421
604.614,422
407.147,423
975.326,424
865.755,425
727.292,426
301.739,427
316.969,428
394.422,429
894.848,430
324.177,431
318.571,432
994.334,433
984.839,434
339.379,435
826.73,436
363.343,437
531.951,438
688.938,439
498.146,440
405.557,441
748.676,442
319.372,443
816.933,444
736.465,445
908.224,446
950.358,447
779.104,448
333.78,449
334.58,450
462.638,451
904.511,452
528.027,453
882.185,454
899.31,455
340.978,456
841.019,457
983.377,458
733.409,459
624.813,460
725.762,461
389.646,462
724.232,463
344.176,464
376.104,465
833.503,466
348.971,467
328.98,468
992.144,469
977.523,470
342.577,471
905.254,472
812.406,473
875.469,474
730.351,475
421.445,476
934.874,477
487.902,478
531.166,479
538.226,480
816.179,481
523.315,482
729.587,483
1000.168,484
431.759,485
796.534,486
935.613,487
560.935,488
350.568,489
888.893,490
831.246,491
846.275,492
739.52,493
599.945,494
680.472,495
769.231,496
800.317,497
624.037,498
637.992,499
368.928,500
900.053,501
906.739,502
934.136,503
782.897,504
447.606,505
341.778,506
343.376,507
519.387,508
731.116,509
529.596,510
866.503,511
602.28,512
568.752,513
499.722,514
915.64,515
535.089,516
978.987,517
734.173,518
573.438,519
647.281,520
658.104,521
376.901,522
525.671,523
978.255,524
549.98,525
335.38,526
951.83,527
943.728,528
988.493,529
439.685,530
432.551,531
311.36,532
677.39,533
704.305,534
674.308,535
417.475,536
522.53,537
328.179,538
981.914,539
737.993,540
560.153,541
475.278,542
785.172,543
758.581,544
910.45,545
771.511,546
427.793,547
550.763,548
332.18,549
468.96,550
976.79,551
634.118,552
630.243,553
561.717,554
745.626,555
874.723,556
459.475,557
942.253,558
884.422,559
679.701,560
463.428,561
583.584,562
959.919,563
382.479,564
912.675,565
709.676,566
396.809,567
378.495,568
648.055,569
329.78,570
617.051,571
808.631,572
945.939,573
992.874,574
667.368,575
474.489,576
625.589,577
430.172,578
989.224,579
768.471,580
386.461,581
845.525,582
623.261,583
419.857,584
718.107,585
356.958,586
663.509,587
958.449,588
534.304,589
580.463,590
651.921,591
966.528,592
505.232,593
979.719,594
465.799,595
637.218,596
617.827,597
931.181,598
420.651,599
464.219,600
669.682,601
455.52,602
931.92,603
797.291,604
423.032,605
914.158,606
750.201,607
735.701,608
916.381,609
870.988,610
965.794,611
666.596,612
891.871,613
659.649,614
788.204,615
476.857,616
452.355,617
873.976,618
913.416,619
766.95,620
638.767,621
799.561,622
946.675,623
872.482,624
971.662,625
514.671,626
741.81,627
358.554,628
954.037,629
641.09,630
803.341,631
781.38,632
457.102,633
410.326,634
731.88,635
610.058,636
715.808,637
911.933,638
783.656,639
922.306,640
347.373,641
702.002,642
702.77,643
451.564,644
862.014,645
612.389,646
744.863,647
984.108,648
705.073,649
980.451,650
670.453,651
851.526,652
668.911,653
714.276,654
449.981,655
896.336,656
728.822,657
425.413,658
996.522,659
837.262,660
776.827,661
582.024,662
932.659,663
516.244,664
409.531,665
345.774,666
571.877,667
951.094,668
635.668,669
528.812,670
454.729,671
900.797,672
801.073,673
636.443,674
792.749,675
939.303,676
470.54,677
692.014,678
718.873,679
545.28,680
944.465,681
632.568,682
882.931,683
969.462,684
856.023,685
855.274,686
887.403,687
999.439,688
767.711,689
930.442,690
948.149,691
993.604,692
609.28,693
938.565,694
627.141,695
429.379,696
835.007,697
970.929,698
933.397,699
897.823,700
631.018,701
954.773,702
327.379,703
618.604,704
850.776,705
600.724,706
723.466,707
890.382,708
765.429,709
613.166,710
380.886,711
639.541,712
937.089,713
711.976,714
515.457,715
828.988,716
990.684,717
923.046,718
926.006,719
883.676,720
847.776,721
416.681,722
956.979,723
486.325,724
446.814,725
829.741,726
986.301,727
928.964,728
773.79,729
438.893,730
920.085,731
885.912,732
919.344,733
982.645,734
832.751,735
893.36,736
513.885,737
827.483,738
873.229,739
442.854,740
443.646,741
997.981,742
754.773,743
852.276,744
802.585,745
962.123,746
949.621,747
942.99,748
458.684,749
921.566,750
787.446,751
928.224,752
891.127,753
712.743,754
633.343,755
948.885,756
672.766,757
856.772,758
903.769,759
749.439,760
706.607,761
901.54,762
937.827,763
434.93,764
304.145,765
331.38,766
795.021,767
716.574,768
955.508,769
626.365,770
446.022,771
794.264,772
411.121,773
859.768,774
308.154,775
925.266,776
962.857,777
427,778
936.351,779
628.692,780
671.224,781
461.847,782
620.157,783
426.206,784
940.778,785
967.261,786
828.236,787
997.252,788
813.161,789
998.71,790
959.184,791
869.493,792
894.104,793
315.367,794
724.997,795
985.57,796
960.654,797
780.622,798
527.241,799
640.316,800
924.526,801
923.786,802
987.763,803
854.525,804
372.915,805
715.042,806
450.772,807
506.019,808
902.283,809
965.06,810
844.774,811
793.506,812
862.762,813
737.229,814
867.998,815
788.962,816
864.259,817
436.515,818
956.244,819
627.916,820
453.938,821
434.137,822
876.216,823
920.825,824
720.404,825
629.467,826
892.615,827
914.899,828
710.442,829
778.345,830
830.494,831
972.395,832
857.521,833
435.723,834
871.735,835
619.38,836
707.374,837
437.308,838
842.522,839
798.804,840
539.01,841
719.638,842
728.057,843
831.998,844
850.026,845
989.954,846
849.276,847
909.708,848
711.209,849
423.826,850
841.771,851
853.026,852
885.167,853
722.701,854
844.023,855
398.4,856
810.141,857
738.757,858
853.775,859
708.142,860
620.933,861
441.27,862
995.063,863
947.412,864
795.777,865
734.937,866
764.669,867
865.007,868
886.658,869
952.566,870
326.578,871
782.139,872
917.122,873
374.51,874
798.048,875
457.893,876
903.026,877
973.86,878
967.995,879
703.537,880
863.51,881
466.59,882
412.71,883
741.047,884
468.17,885
908.966,886
774.549,887
814.67,888
843.272,889
