Feature,Rank
945.939,495
453.938,496
519.387,497
658.104,498
538.226,499
423.032,500
789.72,501
336.18,502
930.442,503
546.063,504
513.885,505
404.762,506
414.298,507
459.475,508
584.364,509
765.429,510
534.304,511
773.79,512
917.863,513
992.144,514
803.341,515
889.637,516
403.967,517
914.158,518
938.565,519
300.937,520
732.645,521
465.799,522
560.153,523
912.675,524
779.104,525
668.911,526
981.914,527
583.584,528
851.526,529
989.954,530
987.032,531
526.456,532
491.843,533
928.964,534
525.671,535
805.609,536
776.068,537
927.485,538
456.311,539
539.01,540
988.493,541
641.09,542
634.118,543
419.063,544
918.604,545
505.232,546
355.361,547
937.827,548
516.244,549
777.586,550
548.413,551
495.783,552
861.265,553
468.17,554
338.579,555
621.709,556
911.191,557
795.021,558
730.351,559
769.991,560
905.997,561
461.056,562
946.675,563
904.511,564
736.465,565
715.808,566
704.305,567
933.397,568
308.154,569
928.224,570
714.276,571
417.475,572
457.893,573
816.933,574
568.752,575
970.929,576
615.497,577
632.568,578
427.793,579
947.412,580
619.38,581
961.388,582
397.605,583
673.537,584
642.638,585
549.196,586
613.166,587
336.98,588
921.566,589
392.83,590
786.688,591
453.146,592
344.176,593
517.03,594
872.482,595
865.755,596
461.847,597
360.949,598
859.019,599
648.055,600
960.654,601
850.776,602
627.141,603
709.676,604
670.453,605
954.037,606
626.365,607
446.814,608
418.269,609
951.83,610
867.25,611
422.238,612
705.84,613
835.759,614
398.4,615
711.976,616
916.381,617
638.767,618
983.377,619
637.218,620
831.998,621
822.964,622
372.915,623
905.254,624
735.701,625
962.857,626
766.95,627
993.604,628
564.063,629
301.739,630
804.097,631
913.416,632
884.422,633
826.73,634
411.915,635
635.668,636
406.352,637
956.979,638
887.403,639
451.564,640
431.759,641
782.139,642
304.145,643
944.465,644
813.915,645
320.173,646
631.793,647
853.775,648
908.224,649
582.024,650
901.54,651
818.441,652
610.835,653
468.96,654
307.352,655
952.566,656
785.172,657
987.763,658
881.439,659
966.528,660
877.709,661
430.966,662
802.585,663
723.466,664
400.786,665
797.291,666
869.493,667
449.189,668
571.096,669
620.157,670
546.847,671
408.737,672
920.825,673
800.317,674
528.812,675
366.535,676
1000.168,677
992.874,678
820.703,679
778.345,680
852.276,681
636.443,682
923.786,683
937.089,684
712.743,685
837.262,686
729.587,687
466.59,688
835.007,689
967.261,690
515.457,691
942.253,692
527.241,693
438.1,694
474.489,695
424.619,696
830.494,697
828.988,698
733.409,699
910.45,700
936.351,701
995.063,702
896.336,703
890.382,704
934.136,705
974.593,706
903.769,707
509.166,708
455.52,709
875.469,710
437.308,711
903.026,712
380.886,713
950.358,714
984.839,715
853.026,716
907.481,717
435.723,718
624.813,719
876.216,720
951.094,721
716.574,722
902.283,723
462.638,724
923.046,725
882.185,726
954.773,727
829.741,728
801.073,729
713.509,730
885.167,731
978.255,732
438.893,733
935.613,734
920.085,735
864.259,736
873.229,737
724.232,738
997.252,739
891.127,740
633.343,741
374.51,742
315.367,743
331.38,744
849.276,745
931.92,746
409.531,747
627.916,748
925.266,749
793.506,750
427,751
957.714,752
798.048,753
839.517,754
911.933,755
888.148,756
620.933,757
971.662,758
316.168,759
640.316,760
794.264,761
859.768,762
828.236,763
741.81,764
997.981,765
446.022,766
973.86,767
943.728,768
909.708,769
419.857,770
810.896,771
996.522,772
523.315,773
873.976,774
520.173,775
870.988,776
886.658,777
893.36,778
434.137,779
908.966,780
863.51,781
717.341,782
891.871,783
473.699,784
968.729,785
900.797,786
862.762,787
360.151,788
420.651,789
984.108,790
326.578,791
866.503,792
328.98,793
770.751,794
948.885,795
894.104,796
959.184,797
870.24,798
860.517,799
979.719,800
345.774,801
922.306,802
447.606,803
959.919,804
989.224,805
767.711,806
395.218,807
706.607,808
328.179,809
940.778,810
441.27,811
844.774,812
917.122,813
722.701,814
982.645,815
926.006,816
965.794,817
816.179,818
545.28,819
888.893,820
810.141,821
956.244,822
450.772,823
389.646,824
707.374,825
641.864,826
874.723,827
780.622,828
827.483,829
430.172,830
855.274,831
998.71,832
955.508,833
334.58,834
948.149,835
980.451,836
940.041,837
454.729,838
720.404,839
897.079,840
799.561,841
316.969,842
934.874,843
425.413,844
962.123,845
423.826,846
814.67,847
813.161,848
452.355,849
926.745,850
327.379,851
854.525,852
798.804,853
457.102,854
443.646,855
796.534,856
973.128,857
841.771,858
883.676,859
458.684,860
865.007,861
432.551,862
985.57,863
843.272,864
840.268,865
967.995,866
858.27,867
949.621,868
871.735,869
529.596,870
939.303,871
941.516,872
999.439,873
915.64,874
919.344,875
342.577,876
914.899,877
892.615,878
850.026,879
867.998,880
842.522,881
924.526,882
416.681,883
356.958,884
844.023,885
847.776,886
339.379,887
449.981,888
833.503,889
885.912,890
862.014,891
942.99,892
856.023,893
932.659,894
970.195,895
856.772,896
436.515,897
931.181,898
845.525,899
857.521,900
463.428,901
