size,thickness,materials,dielect1,Spectrum,Amplitude_1,Mean_1,Sigma_1,FWHM_1,Amplitude_2,Mean_2,Sigma_2,FWHM_2,Amplitude_3,Mean_3,Sigma_3,FWHM_3,Baseline,RMSE,R_squared,Peak12_lambda_ratio,Peak23_lambda_ratio,Peak13_lambda_ratio,Peak12_amp_ratio,Peak23_amp_ratio,Peak13_amp_ratio,Peak12_area_ratio,Peak23_area_ratio,Peak13_area_ratio,Skewness_1,Skewness_2,Skewness_3,Avg_skewness,Max_skewness,Asymmetry_1,Asymmetry_2,Asymmetry_3,Avg_asymmetry,Max_asymmetry,Area_1,Area_2,Area_3,Total_area,Area_ratio_max_min,Peak12_separation,Peak23_separation,Peak13_separation,Peak12_norm_separation,Peak23_norm_separation,Peak13_norm_separation,Mean_separation,Separation_std,Dominant_peak_idx,Dominance_ratio,Second_dominant_ratio,Peak_uniformity,Peak_width_ratio_max_min,Avg_FWHM,FWHM_std,Center_of_mass,Spectral_span
53,0.5,2.6,1.3,345,0.013202819844053922,628.5413437512096,27.339742636819064,64.38017275603427,0.007393546137644405,483.74556656327036,55.24764444444443,130.09825809066663,0.005276355871537316,318.87611205999553,34.136896523830416,80.38624667224634,1.9791142762302855e-05,0.0006218633721866929,0.9704816155330025,1.299322179253236,1.5170329424742341,1.9711145488149784,1.785722225801669,1.4012599183087768,2.5022610140928676,0.8837020425036692,3.235568293966745,2.8592783103185635,0.3938873228327519,0.39011646296613606,0.059240851759641604,0.2810815458528432,0.3938873228327519,1.0000006444633163,0.9999998295530302,2.2406334682690834,1.4135446474284767,2.2406334682690834,0.9022863542673254,1.0210300653177553,0.3155643683670899,2.2388807879521706,3.235568293966745,144.79577718793928,164.86945450327482,309.6652316912141,0.46758809956528763,0.5324119004347124,1.0,154.83261584560705,10.036838657667772,1,1.7857222499541145,1.4012599183087768,2.5736806349970975,2.0207814381559372,91.62155917298242,27.980837136087768,521.0462647853759,309.6652316912141
54,0.5,2.6,1.3,346,0.01091485914644168,726.8154476394615,16.328883684370364,38.451581877629025,0.008773534963460216,610.6827746861607,31.097890909090914,73.22993547054547,0.007314893728220731,494.9252497588878,31.097890909090914,73.22993547054547,0.0019379352774765372,0.0016507705955443627,0.779669364559511,1.1901685748592863,1.2338889054125708,1.4685358000898046,1.2440662820052542,1.1994070138943196,1.492141841393835,0.6531618330013017,1.1995190426387,0.7834800567247444,0.390205135667112,0.3906375524915401,0.38630816374089433,0.3890502839665155,0.3906375524915401,1.0000150304443307,0.9999878194640855,0.9999996698097351,1.0000008399060505,1.0000150304443307,0.44543743757450244,0.681971013925271,0.5685370465691987,1.6959454980689723,1.5310141363187626,116.13267295330081,115.75752492727287,231.89019788057368,0.5008088915130021,0.4991911084869979,1.0,115.94509894028684,0.1875740130139718,1,1.2440662961850149,1.1994070138943196,6.088147527739064,1.904471334979078,61.637150939573324,16.394673109369833,566.1494594016121,231.89019788057368
50,0.5,2.6,1.3,347,0.019726869641795746,674.3130547422506,15.454759371803846,36.39317646391113,0.007295643572445449,598.0915371083847,35.40049547742312,83.36179476014551,0.006500508874556066,468.8455691980991,49.03839999999999,115.47660508799999,0.0009632662872002482,0.0016434933238696527,0.8719128444472816,1.127441224134794,1.2756685279786624,1.4382412867747345,2.703924496244406,1.1223188216494517,3.03466539604969,1.1803064630554356,0.8100746079806899,0.9561362955048274,0.38755905128502516,0.38688096350332674,0.3929044260006563,0.38911481359633604,0.3929044260006563,0.99999279384258,1.0000030578865213,1.0000043221685178,1.000000057965873,1.0000043221685178,0.7619013839478315,0.6455114901747483,0.7968543683931002,2.20426724251568,1.2344541970181444,76.22151763386591,129.24596791028563,205.46748554415154,0.3709663231240895,0.6290336768759105,1.0,102.73374277207577,26.512225138209857,1,2.703924533306585,1.1223188216494517,1.8450902578337058,3.173029021044948,78.4105254373522,32.47494902911539,545.0982155155701,205.46748554415154
55,0.5,2.6,1.3,348,0.009421228054846862,707.5905528280808,21.05990914369178,49.59229524974828,0.005042560347937445,351.17932438987907,12.26907581668282,28.89146511464104,0.005691895951817979,515.0414377765652,42.18755555555555,99.34409957333332,0.0013319504171845128,0.0016084147100800493,0.6906951216739811,2.0148980981645512,0.6818467382078083,1.373851696055007,1.8683421155021396,0.8859192617066263,1.6552003004056517,3.2077961675226025,0.25757398428241696,0.8262448401690945,0.39321796649203355,0.3887169785709058,0.3909637818110928,0.390966242291344,0.39321796649203355,1.0000376095271937,0.9999321996498667,0.9999943663884151,0.9999880585218252,1.0000376095271937,0.4959345942179958,0.15460290118128953,0.6002271603098619,1.2507646557091472,3.8823796664578056,356.41122843820176,163.86211338668613,192.54911505151563,1.0,0.4597557549034913,0.5402442450965087,260.13667091244395,96.27455752575781,1,1.6552003294855981,1.1287709905681214,3.482253125689692,3.4385275782705014,59.27595331257422,29.566009207092627,567.3890597808671,356.41122843820176
51,0.5,2.6,1.3,349,0.02157364822556782,679.9423518164303,13.748333726069893,32.37485122482391,0.004748714090399814,325.9376539586787,48.364266666666666,113.889142432,0.007069429426722533,586.866599567954,48.364266666666666,113.889142432,0.0014775695909721753,0.002076108839749006,0.8144018123404304,2.0861116951600276,0.5553862738117581,1.1585978011304134,4.5430504680997545,0.6717252180603279,3.051681630606707,1.850449454940414,0.46879950888014493,0.8674897959001028,0.4019225167398999,0.07073052394793321,0.3936206195103414,0.28875788673272484,0.4019225167398999,1.0000114997664091,2.2777537961296725,1.0000000366194166,1.425921777505166,2.2777537961296725,0.7414368185385936,0.40067931408449275,0.854692264918844,1.9968083975419304,2.133108035932449,354.00469785775164,260.92894560927533,93.0757522484763,1.0,0.7370776353768147,0.26292236462318525,307.4668217335135,46.53787612423815,1,3.0516816737740045,1.488703919266055,1.4950668742215485,3.5178275149778533,86.71771202960797,38.42620538413945,556.6420618650004,354.00469785775164
45,0.5,2.6,1.3,350,0.016507061096862792,620.0383493063375,24.94658379452576,58.74471445102515,0.008993051354747907,470.42406239990135,36.479758869262376,85.90326578051643,0.005321706561976796,337.7354682475213,28.00361591267891,65.94347482349455,3.630579152894968e-05,0.0012103541930410047,0.9204963434838747,1.3180413139222442,1.3928772860035987,1.835869808177023,1.8355350439085771,1.6898810712365264,3.101835960783885,1.2552249133746685,2.4278216740077436,3.0474622508171465,0.39231193711386936,0.39045021421817594,-0.12040070962177771,0.22078714723675585,0.39231193711386936,1.0000142188303978,0.9999989501587168,0.9999998972267029,1.0000043554052724,1.0000142188303978,1.029306521171157,0.8200176000955454,0.33775857948376964,2.187082700750472,3.0474622508171465,149.61428690643618,132.68859415238006,282.30288105881624,0.5299778958871655,0.4700221041128345,1.0,141.15144052940812,8.462846377028058,1,1.8355350643191695,1.6898810712365264,2.2069062148207514,1.4623148070986554,70.19715168501205,11.488169355495247,517.8170151028014,282.30288105881624
61,0.5,2.6,1.3,351,0.01587893379969564,740.8708515843211,14.705737556220248,34.62936491213856,0.009665941173443302,476.198675996261,43.60852560106395,102.69022825589742,0.009402613001634965,629.0351677409996,43.60853333331123,102.69024646394796,0.0006993344346968419,0.00117233929378356,0.9238891911277185,1.5558019980508782,0.7570302908600754,1.1777892391053901,1.6427715988014773,1.028005839330191,1.6887788137251492,0.5537857156480466,1.0280881071432661,0.5693405082176126,0.38426758173671866,0.3931097969326723,0.38925788450521126,0.38887842105820075,0.3931097969326723,1.000057351245205,1.0000013207167695,0.9999934359333099,1.000017369298428,1.000057351245205,0.5835141592717529,1.0536822144889366,1.024894857809395,2.662091231570084,1.8057526069691188,264.67217558806016,152.83649174473857,111.83568384332159,1.0,0.5774558334481507,0.4225441665518493,208.75433366639936,55.917841921660795,1,1.6427716157969419,1.028005839330191,3.8923553548581444,2.9654094646116986,80.00327987732798,32.08420296086807,572.2056099198952,264.67217558806016
56,0.5,2.6,1.3,352,0.01779343219813644,695.2641333925721,15.253944446724933,35.92029346203681,0.005196886796753036,345.0641514794828,19.36521039176874,45.60158473474487,0.005658204012249711,512.3809999999997,49.97586666666666,117.684170344,0.0011047261928768713,0.0014437094624473199,0.8542396833975886,2.014883697455632,0.6734522776594284,1.3569280152707395,3.4238636613880518,0.9184693046866326,3.144713736928402,2.724097107026744,0.3522744492713395,0.9596298085248716,0.3898930517336054,0.21324214722811224,0.3932539615427597,0.3321297201681591,0.3932539615427597,1.0000419895283363,0.9999935795970543,0.9999959799697322,1.000010516365041,1.0000419895283363,0.678330441623737,0.24901110889240696,0.706866789153302,1.634208339669446,2.838695799611319,350.19998191308935,167.31684852051694,182.8831333925724,1.0,0.47777514894915296,0.522224851050847,258.75841521680314,91.4415666962862,1,3.144713792506351,1.0887679729541355,1.6373270642173705,3.276258599289486,66.40201618026056,36.47671724933506,568.7985291585569,350.19998191308935
56,0.5,2.6,1.3,353,0.017878180129385222,693.2068094967805,17.24188403330995,40.60153335931894,0.005852082701904947,497.1502952819453,49.873466666666666,117.443036776,0.006025336414681317,335.5299550755278,23.532870839367657,55.41567490995975,0.0013168946385327216,0.0018571246417192376,0.7984532951719705,1.3943606512463351,1.4816867697248925,2.0660057291770952,3.055011477890502,0.9712457864628441,2.967167076199529,1.0561113802412394,2.2125343914491076,2.3366827503048153,0.3951092865213061,0.3912196318376245,-0.08194286102275491,0.23479535244539187,0.3951092865213061,0.9999619517025384,1.000000041371756,0.9999777737613277,0.9999799222785407,1.000000041371756,0.7704948566243854,0.7295583315679981,0.3297387530635931,1.8297919412559767,2.3366827503048153,196.05651421483515,161.6203402064175,357.67685442125264,0.5481386670436614,0.4518613329563386,1.0,178.83842721062632,17.218087004208826,1,2.9671671254443654,1.029605461617866,1.7621154022774237,2.892576389582199,71.15341501509289,33.285747796381656,561.3954487353687,357.67685442125264
50,0.5,2.6,1.3,354,0.012919787482571183,623.9551189488079,29.7168971287571,69.9779436967398,0.006910087629307357,349.3029088148957,13.842933333333336,32.59761627200001,0.004699804934662998,316.0629976922867,13.842933333333336,32.59761627200001,0.001248552356629484,0.002122133223063864,0.7225748912255422,1.786286638910524,1.1051686257651088,1.974147949947884,1.8696994869942438,1.4702924011406036,2.749004987926612,4.014385527566037,1.702404892225727,6.834109564267287,0.39218171584103584,0.3914637316807475,-0.14956636248922925,0.21135969501085136,0.39218171584103584,0.9999992322488204,1.0000488877673352,1.0776515989965472,1.0258999063375676,1.0776515989965472,0.9596905989753521,0.23906288820141888,0.14042657485472046,1.3391800620314915,6.834109564267287,274.6522101339122,33.239911122609044,307.89212125652125,0.8920403971788706,0.10795960282112939,1.0,153.94606062826062,120.70614950565158,1,1.8696995140517803,1.4702924011406036,2.3541658735934194,2.1467196592791336,45.05772541357994,17.62125533667132,520.4674878804074,307.89212125652125
60,0.5,2.6,1.3,355,0.019988615012978144,730.6378398912586,15.478376896135925,36.4487914825588,0.01139329179901612,640.5413176018122,47.65091806156133,112.20933486972585,0.00887185204045152,464.0383192127609,55.44306666666666,130.55844224799998,0.0017505724620982552,0.0019339625009019612,0.8726020279977726,1.1406568472845027,1.3803629809890483,1.5745204860034518,1.7544196348295336,1.284206681834564,2.253037437564965,0.5698843777341798,1.1039219075142699,0.6291078493772576,0.3967002708832887,0.3899827272339617,0.38183590360890535,0.3895063005753852,0.3967002708832887,0.9999808137465627,0.9999979073810531,0.9999992386508085,0.9999926532594747,0.9999992386508085,0.7733484085988417,1.3570268615129129,1.2292779517875263,3.359653221899281,1.754741907074083,90.0965222894464,176.50299838905136,266.59952067849775,0.3379470527934562,0.6620529472065438,1.0,133.29976033924888,43.20323804980248,1,1.7544196502282405,1.284206681834564,2.819573425987364,3.581969029356537,93.07218953342822,40.73351887995323,577.7491708723066,266.59952067849775
48,0.5,2.6,1.3,356,0.012466448587577379,651.3293708487028,17.01449631674921,40.06607621660738,0.004934125393429435,317.2945086947489,26.412250580074204,62.19609591097034,0.006236703200420262,574.502735693601,35.55434666666665,83.72408661759998,0.0009895731760015815,0.0016217840029796675,0.7771198120384981,2.0527596696452903,0.5522941649905667,1.1337271876734145,2.526577121757122,0.7911431978970281,1.998884344351819,2.2209666013047067,0.4306577113754725,0.9564763939599618,0.39058578616177697,0.005268436063151561,0.389811913352866,0.2618887118592648,0.39058578616177697,0.9999796496567736,1.9013022254941716,0.9999996879384907,1.3004271876964786,1.9013022254941716,0.530127609362363,0.23869229227888564,0.5542505937568456,1.3230704953980943,2.3220297070885803,334.03486215395384,257.2082269988521,76.82663515510171,1.0,0.7700041407064483,0.22999585929355174,295.621544576403,38.413317577550856,1,1.9988843764021549,1.263993631439941,2.397009619539019,2.0896502608582463,61.99541958172589,17.823872966429676,531.76964649661,334.03486215395384
53,0.5,2.6,1.3,357,0.024387093973497836,701.4806558834767,14.591955555555558,34.36142878133334,0.00662351045427075,442.31877367258886,58.367822222222216,137.44571512533332,0.006568846485832385,620.3104756273892,37.179516161297464,87.5510682469465,0.0008001422878369432,0.0016292718870201748,0.8948085233859553,1.58591653268275,0.7130602997235396,1.130854118131534,3.6818985602390817,1.008321684442481,3.7125382142575303,0.9261730348481946,1.5730295591609016,1.4568975608656902,0.39063727798231473,0.2568134437734571,0.3893003189013781,0.34558368021905,0.39063727798231473,1.0000609527587254,1.000002731719566,1.0000090487838331,1.0000242444207084,1.0000609527587254,0.8893593547505678,0.9602518332913049,0.6104474181948796,2.4600586062367524,1.5730295591609016,259.1618822108879,177.99170195480036,81.17018025608752,1.0,0.6867973809897056,0.31320261901029445,218.57679208284412,40.58509012804376,1,3.681898615827407,1.008321684442481,1.493604458026923,3.999999999999999,86.45273738453773,42.0911492737324,564.0373086605499,259.1618822108879
50,0.5,2.6,1.3,358,0.013520058225220675,656.5365244917023,15.738059268981177,37.06029672778226,0.006728408646799116,321.7417229997946,32.80384,77.2471385088,0.006804463439552592,563.1216911806614,32.80384,77.2471385088,0.0014192704258739661,0.0017086044195204668,0.7723359413264801,2.040570052184116,0.5713538086681798,1.1658874711699834,2.009399062096596,0.9888227936983733,1.9869396237678494,1.3065737217247662,0.7294404993252306,0.9530677882143122,0.3885942452986078,0.0034456801449103407,0.3922404718160003,0.2614267990865062,0.3922404718160003,0.9999991862551265,1.8565122222563162,0.9999971707683691,1.2855028597599374,1.8565122222563162,0.5317646715694275,0.40699170861695017,0.5579505236143236,1.4967069038007013,1.370913735253414,334.79480149190766,241.3799681808668,93.41483331104087,1.0,0.7209788416822273,0.27902115831777274,288.08738483638723,46.70741665552043,1,1.9869396529683827,1.011303518501259,2.8323173113691236,2.084363735028912,63.85152458179409,18.94425889188568,528.9507752249228,334.79480149190766
63,0.5,2.6,1.3,359,0.019531167936599644,753.4001852818128,16.731383844894733,39.39939730563502,0.007846609187639148,456.589440814733,38.864586646807346,91.51910592763488,0.006874750734058245,333.4875698912933,24.718595731643198,58.20784360078804,0.0023621367109002813,0.0018567243776960324,0.8353837341968311,1.6500604655624298,1.3691348105221142,2.2591552228683436,2.4891220169923987,1.141366338510221,2.8410001188465137,1.0714918440995513,1.9782995087237065,2.119731789061678,0.39338700865270015,0.39182852730264006,-0.12261389884513571,0.22086721237006815,0.39338700865270015,0.9999586468269178,0.9999992510660926,0.9999788034049905,0.999978900432667,0.9999992510660926,0.8167790458051891,0.7622820931357026,0.3853218835552643,1.964383022496156,2.119731789061678,296.8107444670798,123.10187092343972,419.91261539051953,0.7068393127247327,0.29316068727526734,1.0,209.95630769525977,86.85443677182005,1,2.4891220487146617,1.141366338510221,1.985334181828744,2.3228554796838363,63.04211561135265,21.550617100439574,572.3259041569777,419.91261539051953
60,0.5,2.6,1.3,360,0.021739194832802677,718.9987376474115,15.742432694014996,37.07059535652039,0.008591658867799584,460.48918545854696,35.786577777775555,84.27094908266143,0.005788647777478924,341.12249709312437,23.08541483525187,54.36199656234781,0.0023890966378961546,0.0020460809334206702,0.8262872338087658,1.5613802893791942,1.3499232369089431,2.1077435342850417,2.5302674273127392,1.484225513392504,3.7554875150344347,1.113154678063712,2.3954129315037194,2.666465110944648,0.3981142162853887,0.38821553087996624,0.026982167256907216,0.2711039714740874,0.3981142162853887,1.000078716619551,1.0000079635799928,1.000001447006581,1.0000293757353749,1.000078716619551,0.8554534238072664,0.7684946580685246,0.3208192824385235,1.9447673643143144,2.666465110944648,258.5095521888646,119.36668836542259,377.87624055428716,0.6841116864338183,0.31588831356618174,1.0,188.93812027714358,69.57143191172099,1,2.530267456763017,1.484225513392504,1.7315298381799775,2.2732558857552556,58.56784700050988,19.49761064676644,570.1993786606262,377.87624055428716
