dataset,target,task_type,model,best_score,best_params,n_samples,n_features,n_cv_folds,timestamp,elapsed_seconds,accuracy,accuracy_std,f1_weighted,f1_weighted_std,precision_weighted,precision_weighted_std,recall_weighted,recall_weighted_std,r2,r2_std,neg_mean_squared_error,neg_mean_squared_error_std,neg_mean_absolute_error,neg_mean_absolute_error_std,mse,rmse,mae
full_spectra,Size,regression,MLP Regressor,-3.7482500838197645,"{""mlp__alpha"": 0.001, ""mlp__hidden_layer_sizes"": [50, 50, 50], ""mlp__learning_rate_init"": 0.01}",575,909,5,2026-01-18 20:50:56,36.736334562301636,,,,,,,,,-3.7482500838197645,1.1916350861171294,-137.41322630764407,32.31446937593398,-8.685679589654605,0.321907291735195,137.41322630764407,11.722338772943054,8.685679589654605
simple_features,Material,classification,Gradient Boosting,0.8295652173913043,"{""gb__learning_rate"": 0.05, ""gb__max_depth"": 3, ""gb__n_estimators"": 100, ""gb__subsample"": 0.8}",575,17,5,2026-01-18 20:52:09,24.708082914352417,0.8295652173913043,0.017905443723455653,0.814679539788018,0.024036743533911952,0.8106056177453114,0.02366841867273473,0.8243478260869566,0.016861495156230682,,,,,,,,,
simple_features,Material,classification,Random Forest,0.8139130434782608,"{""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 200}",575,17,5,2026-01-18 20:51:39,41.54443359375,0.8139130434782608,0.011795356492391787,0.8096753965088584,0.014726827328157173,0.8120161771324212,0.013606605580626398,0.8139130434782608,0.011795356492391787,,,,,,,,,
simple_features,Material,classification,Hist Gradient Boosting,0.8104347826086956,"{""learning_rate"": 0.05, ""max_depth"": 3, ""max_iter"": 200}",575,17,5,2026-01-18 20:52:13,4.593564033508301,0.8104347826086956,0.012779946484086114,0.8053453966512982,0.01740796857233332,0.8094258352032284,0.015250462808484452,0.8104347826086956,0.012779946484086114,,,,,,,,,
simple_features,Material,classification,Extra Trees,0.7982608695652174,"{""max_depth"": 20, ""min_samples_split"": 5, ""n_estimators"": 100}",575,17,5,2026-01-18 20:51:44,5.464081287384033,0.7982608695652174,0.019366136914191374,0.7917334884929175,0.023827192993112048,0.7932779868778808,0.022011577972799304,0.7982608695652174,0.019366136914191374,,,,,,,,,
simple_features,Thickness,classification,Random Forest,0.6278260869565218,"{""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 100}",575,17,5,2026-01-18 20:55:02,49.937742710113525,0.6278260869565218,0.027717178174798643,0.6185561814523454,0.030096318625540457,0.6421458210301073,0.023442814863253992,0.6278260869565218,0.027717178174798643,,,,,,,,,
simple_features,Thickness,classification,Hist Gradient Boosting,0.6173913043478261,"{""learning_rate"": 0.05, ""max_depth"": 5, ""max_iter"": 100}",575,17,5,2026-01-18 20:57:24,18.964892148971558,0.6173913043478261,0.03390189337324855,0.608198660964864,0.03878400116978401,0.6223154081947151,0.03330286767082119,0.6173913043478261,0.03390189337324855,,,,,,,,,
simple_features,Thickness,classification,Gradient Boosting,0.6156521739130435,"{""gb__learning_rate"": 0.05, ""gb__max_depth"": 5, ""gb__n_estimators"": 200, ""gb__subsample"": 1.0}",575,17,5,2026-01-18 20:57:05,116.70854902267456,0.6156521739130435,0.04309395371604822,0.5808803693147778,0.052104157235097114,0.6087316222161995,0.04074288356482642,0.6069565217391304,0.03081746982029451,,,,,,,,,
simple_features,Thickness,classification,Extra Trees,0.6069565217391304,"{""max_depth"": null, ""min_samples_split"": 2, ""n_estimators"": 200}",575,17,5,2026-01-18 20:55:09,6.389575958251953,0.6069565217391304,0.047117277162240234,0.5964248889326342,0.04488283687353752,0.6161367586572941,0.04794029411721652,0.6069565217391304,0.047117277162240234,,,,,,,,,
simple_features,Dielectric,classification,Random Forest,0.6156521739130435,"{""max_depth"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 200}",575,17,5,2026-01-18 21:00:13,50.67285394668579,0.6156521739130435,0.025441284936222264,0.6013532516160541,0.02588521971311397,0.6358038678839594,0.026936515197942348,0.6156521739130435,0.025441284936222264,,,,,,,,,
simple_features,Dielectric,classification,Gradient Boosting,0.6104347826086957,"{""gb__learning_rate"": 0.05, ""gb__max_depth"": 5, ""gb__n_estimators"": 200, ""gb__subsample"": 0.8}",575,17,5,2026-01-18 21:03:25,185.84613966941833,0.6104347826086957,0.04992243511098198,0.5856635371225797,0.02801124514346744,0.6085166906418564,0.04757172736114685,0.5965217391304348,0.0341684916598061,,,,,,,,,
simple_features,Dielectric,classification,Hist Gradient Boosting,0.5878260869565218,"{""learning_rate"": 0.05, ""max_depth"": 3, ""max_iter"": 100}",575,17,5,2026-01-18 21:03:54,29.32650136947632,0.5878260869565218,0.03281384741584903,0.5809228265470944,0.031171546606423683,0.5943625274985411,0.03400369936006565,0.5878260869565218,0.03281384741584903,,,,,,,,,
simple_features,Dielectric,classification,Extra Trees,0.5878260869565217,"{""max_depth"": null, ""min_samples_split"": 5, ""n_estimators"": 100}",575,17,5,2026-01-18 21:00:19,6.543805360794067,0.5878260869565217,0.03504250726888675,0.5712738528112071,0.04097960148177171,0.5817558186205989,0.046934697056169906,0.5878260869565217,0.03504250726888675,,,,,,,,,
simple_features,Size,regression,Extra Trees Regressor,0.39696497952925547,"{""max_depth"": null, ""n_estimators"": 200}",575,17,5,2026-01-18 21:06:30,4.665890216827393,,,,,,,,,0.39696497952925547,0.08121689679351768,-16.017255553140096,2.0358244630760938,-3.1649217391304356,0.2073300199306925,16.017255553140096,4.0021563629048895,3.1649217391304356
simple_features,Size,regression,Hist Gradient Boosting Regressor,0.35390254336815663,"{""learning_rate"": 0.05, ""max_depth"": 5, ""max_iter"": 100}",575,17,5,2026-01-18 21:06:43,3.3010222911834717,,,,,,,,,0.35390254336815663,0.07524349947256315,-17.15485248213315,1.7461071310966318,-3.2804073833982677,0.19378563273624935,17.15485248213315,4.141841677579329,3.2804073833982677
simple_features,Size,regression,Random Forest Regressor,0.3395572673972437,"{""max_depth"": null, ""min_samples_split"": 2, ""n_estimators"": 200}",575,17,5,2026-01-18 21:06:26,33.705249309539795,,,,,,,,,0.3395572673972437,0.08331152509929692,-17.53560042995169,1.979102293881211,-3.3051101449275366,0.19499596505931593,17.53560042995169,4.187553036076282,3.3051101449275366
simple_features,Size,regression,Gradient Boosting Regressor,0.33731458280600235,"{""gbr__learning_rate"": 0.05, ""gbr__max_depth"": 5, ""gbr__n_estimators"": 200}",575,17,5,2026-01-18 21:06:39,8.924727201461792,,,,,,,,,0.33731458280600235,0.08475144482164518,-17.83797530354793,2.322634271735591,-3.3337025857785876,0.2266648687036192,17.83797530354793,4.2235027291985885,3.3337025857785876
deconvolution,Material,classification,Random Forest,0.8208695652173914,"{""max_depth"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 100}",575,12,5,2026-01-18 21:09:23,40.35558533668518,0.8208695652173914,0.013014460475735453,0.8162170703605177,0.015704119353905588,0.81818589042606,0.013446891074818682,0.8208695652173914,0.013014460475735453,,,,,,,,,
deconvolution,Material,classification,Hist Gradient Boosting,0.8173913043478261,"{""learning_rate"": 0.1, ""max_depth"": 3, ""max_iter"": 100}",575,12,5,2026-01-18 21:09:53,3.663414239883423,0.8173913043478261,0.02129991080681023,0.8136208413894046,0.02340570785636138,0.8176496935698829,0.0224477789250382,0.8173913043478261,0.02129991080681023,,,,,,,,,
deconvolution,Material,classification,Gradient Boosting,0.8156521739130435,"{""gb__learning_rate"": 0.1, ""gb__max_depth"": 3, ""gb__n_estimators"": 100, ""gb__subsample"": 0.8}",575,12,5,2026-01-18 21:09:49,20.869737148284912,0.8156521739130435,0.020869565217391292,0.7951337041757045,0.026658145931131055,0.813325437022826,0.02731366383013526,0.8069565217391304,0.018568831742663137,,,,,,,,,
deconvolution,Material,classification,Extra Trees,0.8034782608695652,"{""max_depth"": 20, ""min_samples_split"": 5, ""n_estimators"": 200}",575,12,5,2026-01-18 21:09:28,5.184072732925415,0.8034782608695652,0.022407128220391516,0.7965687981690057,0.026374675034749027,0.799186511019532,0.023475548246579506,0.8034782608695652,0.022407128220391516,,,,,,,,,
deconvolution,Material,classification,Logistic Regression,0.7913043478260869,"{""lr__C"": 10, ""lr__penalty"": ""l2"", ""lr__solver"": ""liblinear""}",575,12,5,2026-01-18 21:09:55,0.503392219543457,0.7913043478260869,0.022675486626791818,0.7793869235618219,0.022327648626751784,0.7873793254860243,0.027723350187842093,0.7913043478260869,0.022675486626791818,,,,,,,,,
deconvolution,Material,classification,SVM,0.7895652173913044,"{""svc__C"": 1, ""svc__gamma"": ""scale"", ""svc__kernel"": ""rbf""}",575,12,5,2026-01-18 21:09:54,0.9214966297149658,0.7895652173913044,0.02771717817479865,0.7796833384048873,0.03443203946425765,0.7848724329540725,0.03091641153770193,0.7895652173913044,0.02771717817479865,,,,,,,,,
deconvolution,Material,classification,K-Nearest Neighbors,0.7860869565217392,"{""knn__metric"": ""manhattan"", ""knn__n_neighbors"": 7, ""knn__weights"": ""distance""}",575,12,5,2026-01-18 21:09:55,0.8865838050842285,0.7860869565217392,0.013014460475735457,0.780043406205168,0.012948348261575753,0.7808896658149205,0.013222428623390715,0.7860869565217392,0.013014460475735457,,,,,,,,,
deconvolution,Thickness,classification,Gradient Boosting,0.6034782608695652,"{""gb__learning_rate"": 0.1, ""gb__max_depth"": 5, ""gb__n_estimators"": 200, ""gb__subsample"": 0.8}",575,12,5,2026-01-18 21:13:01,97.60063052177429,0.6034782608695652,0.02240712822039156,0.5641812002480884,0.027375849760003738,0.6068942184096107,0.024074906238246825,0.5947826086956521,0.03988641718671203,,,,,,,,,
deconvolution,Thickness,classification,Random Forest,0.5982608695652173,"{""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",575,12,5,2026-01-18 21:11:17,43.46148633956909,0.5982608695652173,0.02930834703713519,0.5863786305548171,0.03455137327085418,0.6064238903025679,0.02650654064481806,0.5982608695652173,0.02930834703713519,,,,,,,,,
deconvolution,Thickness,classification,Hist Gradient Boosting,0.5965217391304348,"{""learning_rate"": 0.05, ""max_depth"": 5, ""max_iter"": 100}",575,12,5,2026-01-18 21:13:15,14.871678829193115,0.5965217391304348,0.011795356492391768,0.5896481649278773,0.010927275145291779,0.6009144398179039,0.01153136593569135,0.5965217391304348,0.011795356492391768,,,,,,,,,
deconvolution,Thickness,classification,Extra Trees,0.5808695652173913,"{""max_depth"": null, ""min_samples_split"": 2, ""n_estimators"": 100}",575,12,5,2026-01-18 21:11:23,5.881073713302612,0.5808695652173913,0.02158204112346238,0.5701699989498976,0.021684693202195512,0.5869656766009581,0.018244642807755947,0.5808695652173913,0.02158204112346238,,,,,,,,,
deconvolution,Thickness,classification,SVM,0.551304347826087,"{""svc__C"": 10, ""svc__gamma"": ""scale"", ""svc__kernel"": ""rbf""}",575,12,5,2026-01-18 21:13:17,1.5998294353485107,0.551304347826087,0.038339839452258447,0.5420166690116862,0.04022330092431653,0.5558155336604427,0.04182664483551145,0.551304347826087,0.038339839452258447,,,,,,,,,
